iter	Passed	Remaining
554	197264	158166
555	197614	157807
556	197971	157452
557	198351	157117
558	198736	156784
559	199112	156445
560	199401	156038
561	199803	155718
562	200123	155335
563	200469	154972
564	200785	154587
565	201107	154206
566	201437	153831
567	201810	153489
568	202158	153128
569	202556	152805
570	202838	152395
571	203186	152034
572	203529	151670
573	203856	151294
574	204268	150981
575	204632	150632
576	204887	150203
577	205205	149821
578	205537	149449
579	205978	149157
580	206395	148846
581	206713	148464
582	207128	148152
583	207533	147832
584	207853	147451
585	208233	147113
586	208563	146740
587	208933	146395
588	209230	145999
589	209546	145616
590	209858	145231
591	210309	144942
592	210622	144558
593	210925	144168
594	211286	143816
595	211655	143471
596	212056	143146
597	212349	142750
598	212627	142343
599	213005	142003
600	213319	141621
601	213648	141249
602	213989	140885
603	214281	140489
604	214614	140120
605	214971	139766
606	215286	139386
607	215625	139021
608	215994	138676
609	216326	138306
610	216764	138005
611	217089	137631
612	217460	137287
613	217740	136885
614	218121	136547
615	218478	136194
616	218817	135829
617	219123	135445
618	219439	135066
619	219734	134676
620	220043	134293
621	220363	133918
622	220746	133581
623	221043	133193
624	221398	132839
625	221730	132471
626	222086	132118
627	222477	131786
628	222810	131419
629	223255	131118
630	223681	130806
631	224062	130466
632	224353	130075
633	224695	129713
634	225013	129338
635	225377	128989
636	225756	128649
637	226071	128272
638	226423	127916
639	226767	127556
640	227158	127222
641	227501	126862
642	227780	126466
643	228141	126115
644	228468	125746
645	228802	125381
646	229136	125015
647	229602	124722
648	229948	124363
649	230290	124002
650	230639	123645
651	230984	123286
652	231353	122939
653	231671	122566
654	232000	122198
655	232336	121835
656	232716	121494
657	233098	121154
658	233395	120770
659	233760	120421
660	234104	120062
661	234451	119704
662	234782	119339
663	235179	119006
664	235602	118687
665	236047	118378
666	236506	118075
667	236836	117709
668	237171	117344
669	237555	117004
670	237932	116661
671	238423	116373
672	238815	116036
673	239194	115693
674	239600	115362
675	239981	115020
676	240323	114659
677	240687	114308
678	241073	113968
679	241398	113599
680	241710	113224
681	242100	112885
682	242392	112501
683	242729	112138
684	243176	111825
685	243499	111456
686	243848	111098
687	244234	110757
688	244560	110389
689	244877	110017
690	245315	109699
691	245619	109321
692	246020	108987
693	246419	108651
694	246708	108267
695	247093	107926
696	247458	107575
697	247771	107201
698	248231	106892
699	248616	106550
700	248988	106202
701	249412	105876
702	249720	105500
703	250106	105158
704	250520	104827
705	250916	104489
706	251299	104145
707	251631	103780
708	252005	103432
709	252403	103094
710	252797	102754
711	253093	102375
712	253438	102015
713	253748	101641
714	254119	101292
715	254447	100926
716	254813	100574
717	255177	100223
718	255537	99869
719	255878	99508
720	256186	99134
721	256516	98769
722	256848	98405
723	257352	98106
724	257776	97777
725	258120	97417
726	258450	97052
727	258857	96716
728	259273	96382
729	259577	96008
730	259888	95635
731	260207	95267
732	260561	94911
733	260919	94556
734	261241	94188
735	261603	93835
736	261896	93458
737	262264	93107
738	262613	92749
739	262994	92403
740	263345	92046
741	263701	91691
742	264127	91360
743	264560	91031
744	264885	90665
745	265240	90309
746	265642	89970
747	265985	89610
748	266334	89252
749	266648	88882
750	266953	88510
751	267313	88156
752	267682	87805
753	268021	87444
754	268342	87078
755	268732	86733
756	269104	86383
757	269454	86026
758	269788	85664
759	270078	85287
760	270370	84912
761	270689	84546
762	271082	84202
763	271410	83838
764	271768	83484
765	272169	83143
766	272495	82778
767	272808	82410
768	273197	82065
769	273651	81740
770	273997	81381
771	274314	81015
772	274725	80676
773	275025	80304
774	275434	79964
775	275810	79615
776	276135	79251
777	276456	78885
778	276762	78516
779	277058	78144
780	277406	77787
781	277814	77446
782	278204	77101
783	278585	76753
784	278953	76401
785	279330	76051
786	279632	75681
787	280026	75337
788	280374	74979
789	280698	74616
790	281003	74247
791	281380	73897
792	281699	73533
793	281998	73163
794	282336	72803
795	282708	72452
796	283046	72093
797	283423	71743
798	283801	71394
799	284125	71031
800	284427	70663
801	284734	70296
802	285105	69945
803	285390	69572
804	285700	69206
805	286070	68855
806	286379	68489
807	286701	68126
808	287072	67776
809	287449	67426
810	287823	67076
811	288171	66719
812	288530	66365
813	288857	66004
814	289193	65645
815	289626	65307
816	290048	64968
817	290393	64610
818	290745	64255
819	291086	63897
820	291469	63548
821	291858	63200
822	292241	62851
823	292539	62484
824	292908	62132
825	293261	61776
826	293590	61416
827	293874	61046
828	294183	60681
829	294538	60327
830	294949	59983
831	295312	59630
832	295629	59267
833	295977	58911
834	296380	58566
835	296703	58205
836	297048	57848
837	297413	57495
838	297854	57156
839	298170	56794
840	298551	56444
841	298840	56076
842	299130	55710
843	299438	55346
844	299799	54992
845	300088	54626
846	300415	54266
847	300783	53914
848	301200	53570
849	301653	53232
850	302018	52879
851	302479	52543
852	302786	52180
853	303165	51829
854	303606	51488
855	303928	51128
856	304238	50765
857	304639	50418
858	304942	50054
859	305255	49692
860	305626	49340
861	306011	48990
862	306418	48643
863	306818	48295
864	307183	47941
865	307505	47581
866	307801	47217
867	308126	46857
868	308440	46496
869	308785	46140
870	309173	45790
871	309523	45434
872	309847	45075
873	310199	44719
874	310497	44356
875	310809	43995
876	311102	43632
877	311412	43271
878	311757	42915
879	312089	42557
880	312439	42202
881	312757	41842
882	313032	41477
883	313449	41131
884	313799	40776
885	314067	40410
886	314421	40055
887	314818	39706
888	315152	39349
889	315502	38994
890	315879	38642
891	316173	38281
892	316535	37927
893	316849	37568
894	317139	37206
895	317431	36844
896	317882	36501
897	318287	36152
898	318640	35798
899	319018	35446
900	319364	35091
901	319674	34731
902	320023	34376
903	320382	34022
904	320673	33661
905	321028	33307
906	321385	32953
907	321700	32595
908	322134	32248
909	322547	31900
910	322930	31548
911	323329	31198
912	323686	30844
913	324014	30487
914	324366	30132
915	324749	29780
916	325114	29426
917	325535	29078
918	325902	28724
919	326262	28370
920	326562	28011
921	326937	27658
922	327246	27300
923	327560	26942
924	327897	26586
925	328184	26226
926	328545	25872
927	328871	25515
928	329165	25156
929	329533	24803
930	329841	24445
931	330187	24090
932	330457	23730
933	330847	23378
934	331228	23026
935	331617	22674
936	331944	22318
937	332230	21959
938	332537	21602
939	332877	21247
940	333154	20888
941	333529	20535
942	333828	20178
943	334215	19826
944	334610	19474
945	335035	19124
946	335451	18773
947	335796	18419
948	336226	18069
949	336604	17716
950	336931	17360
951	337283	17005
952	337662	16652
953	338029	16299
954	338362	15943
955	338691	15588
956	339035	15233
957	339362	14878
958	339747	14525
959	340102	14170
960	340464	13816
961	340800	13461
962	341188	13109
963	341540	12754
964	341866	12399
965	342236	12045
966	342540	11689
967	342890	11335
968	343237	10980
969	343528	10624
970	343919	10271
971	344336	9919
972	344678	9564
973	345146	9213
974	345501	8859
975	345798	8503
976	346170	8149
977	346600	7796
978	346923	7441
979	347336	7088
980	347720	6734
981	348149	6381
982	348465	6026
983	348831	5672
984	349215	5317
985	349542	4963
986	349832	4607
987	350218	4253
988	350586	3899
989	350959	3545
990	351384	3191
991	351672	2836
992	352041	2481
993	352315	2126
994	352682	1772
995	353069	1417
996	353409	1063
997	353767	708
998	354158	354
999	354592	0
